,quant,min_temp,max_temp,day-1,day-2,day-3,day-4,day-5,day-6,day-7,day-8,day-9,day-10
147,2995200,12.0,19.0,432000,0,0,844800,1267200,422400,1305600,0,2995200,0
148,0,21.0,23.0,2995200,432000,0,0,844800,1267200,422400,1305600,0,2995200
149,9830400,20.0,30.0,0,2995200,432000,0,0,844800,1267200,422400,1305600,0
150,1344000,22.0,30.0,9830400,0,2995200,432000,0,0,844800,1267200,422400,1305600
151,0,20.0,26.0,1344000,9830400,0,2995200,432000,0,0,844800,1267200,422400
152,2449440,25.0,33.0,0,1344000,9830400,0,2995200,432000,0,0,844800,1267200
153,2630400,9.0,17.0,2449440,0,1344000,9830400,0,2995200,432000,0,0,844800
154,844800,11.0,18.0,2630400,2449440,0,1344000,9830400,0,2995200,432000,0,0
155,3417600,11.0,18.0,844800,2630400,2449440,0,1344000,9830400,0,2995200,432000,0
156,1382400,11.0,14.0,3417600,844800,2630400,2449440,0,1344000,9830400,0,2995200,432000
157,844800,9.0,19.0,1382400,3417600,844800,2630400,2449440,0,1344000,9830400,0,2995200
158,422400,11.0,22.0,844800,1382400,3417600,844800,2630400,2449440,0,1344000,9830400,0
159,2160000,12.0,19.0,422400,844800,1382400,3417600,844800,2630400,2449440,0,1344000,9830400
160,892800,13.0,23.0,2160000,422400,844800,1382400,3417600,844800,2630400,2449440,0,1344000
161,844800,17.0,31.0,892800,2160000,422400,844800,1382400,3417600,844800,2630400,2449440,0
162,22569600,13.0,22.0,844800,892800,2160000,422400,844800,1382400,3417600,844800,2630400,2449440
163,1766400,10.0,12.0,22569600,844800,892800,2160000,422400,844800,1382400,3417600,844800,2630400
164,0,21.0,31.0,1766400,22569600,844800,892800,2160000,422400,844800,1382400,3417600,844800
165,422400,11.0,14.0,0,1766400,22569600,844800,892800,2160000,422400,844800,1382400,3417600
166,844800,12.0,14.0,422400,0,1766400,22569600,844800,892800,2160000,422400,844800,1382400
167,0,23.0,30.0,844800,422400,0,1766400,22569600,844800,892800,2160000,422400,844800
168,844800,10.0,19.0,0,844800,422400,0,1766400,22569600,844800,892800,2160000,422400
169,2150400,14.0,21.0,844800,0,844800,422400,0,1766400,22569600,844800,892800,2160000
170,20390400,15.0,23.0,2150400,844800,0,844800,422400,0,1766400,22569600,844800,892800
171,844800,14.0,24.0,20390400,2150400,844800,0,844800,422400,0,1766400,22569600,844800
172,1267200,8.0,14.0,844800,20390400,2150400,844800,0,844800,422400,0,1766400,22569600
173,864000,9.0,16.0,1267200,844800,20390400,2150400,844800,0,844800,422400,0,1766400
174,422400,13.0,17.0,864000,1267200,844800,20390400,2150400,844800,0,844800,422400,0
175,0,25.0,34.0,422400,864000,1267200,844800,20390400,2150400,844800,0,844800,422400
176,2649600,17.0,27.0,0,422400,864000,1267200,844800,20390400,2150400,844800,0,844800
